product_id,title,category,price,rating,num_reviews,availability,seller,date_listed,description,specs,is_popular
PID000000,ProBook Model930 - Ultra Performance,monitors,30.0,4.83,119,in_stock,Deals4U,2025-07-29,ProBook Model930 - Ultra Performance - High quality monitors with features and warranty.,"{""weight_g"": 2244, ""color"": ""silver""}",1
PID000001,ProBook Model426 - Ultra Performance,cameras,30.0,3.26,61,in_stock,ElectroHub,2025-09-05,ProBook Model426 - Ultra Performance - High quality cameras with features and warranty.,"{""weight_g"": 1808, ""color"": ""blue""}",0
PID000002,ProBook Model275 - Ultra Performance,monitors,545.51,4.21,28,out_of_stock,ElectroHub,2025-10-23,ProBook Model275 - Ultra Performance - High quality monitors with features and warranty.,"{""weight_g"": 1290, ""color"": ""silver""}",0
PID000003,PixelCam Model709 - 4K Capture,laptops,827.25,4.02,2,in_stock,PrimeSeller,2025-07-25,PixelCam Model709 - 4K Capture - High quality laptops with features and warranty.,"{""weight_g"": 962, ""color"": ""blue""}",0
PID000004,ViewPlus Model176 - Wide Screen,cameras,145.66,4.63,18,out_of_stock,ElectroHub,2025-05-27,ViewPlus Model176 - Wide Screen - High quality cameras with features and warranty.,"{""weight_g"": 239, ""color"": ""blue""}",0
PID000005,ViewPlus Model821 - Wide Screen,smartphones,301.31,3.14,109,in_stock,ElectroHub,2024-11-30,ViewPlus Model821 - Wide Screen - High quality smartphones with features and warranty.,"{""weight_g"": 168, ""color"": ""black""}",0
PID000006,PixelCam Model908 - 4K Capture,headphones,129.14,4.21,14,out_of_stock,Deals4U,2025-09-08,PixelCam Model908 - 4K Capture - High quality headphones with features and warranty.,"{""weight_g"": 2292, ""color"": ""black""}",0
PID000007,SmartEdge Model996 - 5G Ready,headphones,125.55,4.73,0,out_of_stock,Deals4U,2025-04-16,SmartEdge Model996 - 5G Ready - High quality headphones with features and warranty.,"{""weight_g"": 722, ""color"": ""white""}",0
PID000008,ProBook Model428 - Ultra Performance,monitors,265.06,4.34,56,in_stock,PrimeSeller,2025-07-22,ProBook Model428 - Ultra Performance - High quality monitors with features and warranty.,"{""weight_g"": 732, ""color"": ""black""}",1
PID000009,ProBook Model725 - Ultra Performance,headphones,353.18,3.66,10,in_stock,PrimeSeller,2025-05-28,ProBook Model725 - Ultra Performance - High quality headphones with features and warranty.,"{""weight_g"": 465, ""color"": ""silver""}",0
PID000010,ProBook Model615 - Ultra Performance,headphones,598.46,3.31,79,out_of_stock,ElectroHub,2025-06-22,ProBook Model615 - Ultra Performance - High quality headphones with features and warranty.,"{""weight_g"": 2095, ""color"": ""black""}",0
PID000011,ViewPlus Model294 - Wide Screen,smartphones,219.17,4.75,79,out_of_stock,PrimeSeller,2025-10-29,ViewPlus Model294 - Wide Screen - High quality smartphones with features and warranty.,"{""weight_g"": 1613, ""color"": ""blue""}",1
PID000012,SmartEdge Model796 - 5G Ready,cameras,366.64,3.47,23,in_stock,ElectroHub,2025-01-31,SmartEdge Model796 - 5G Ready - High quality cameras with features and warranty.,"{""weight_g"": 1554, ""color"": ""black""}",0
PID000013,SmartEdge Model879 - 5G Ready,monitors,82.01,3.3,43,in_stock,GadgetWorld,2025-07-19,SmartEdge Model879 - 5G Ready - High quality monitors with features and warranty.,"{""weight_g"": 960, ""color"": ""white""}",0
PID000014,ViewPlus Model391 - Wide Screen,laptops,1029.27,4.15,99,in_stock,BestStore,2025-04-18,ViewPlus Model391 - Wide Screen - High quality laptops with features and warranty.,"{""weight_g"": 1476, ""color"": ""black""}",1
PID000015,ViewPlus Model758 - Wide Screen,monitors,122.17,4.82,25,in_stock,BestStore,2025-02-27,ViewPlus Model758 - Wide Screen - High quality monitors with features and warranty.,"{""weight_g"": 1142, ""color"": ""white""}",0
PID000016,SmartEdge Model966 - 5G Ready,smartphones,64.04,4.54,13,in_stock,PrimeSeller,2024-11-30,SmartEdge Model966 - 5G Ready - High quality smartphones with features and warranty.,"{""weight_g"": 2155, ""color"": ""silver""}",0
PID000017,ProBook Model974 - Ultra Performance,smartphones,68.24,4.14,0,in_stock,GadgetWorld,2025-08-28,ProBook Model974 - Ultra Performance - High quality smartphones with features and warranty.,"{""weight_g"": 295, ""color"": ""silver""}",0
PID000018,SoundX Model690 - Noise Cancelling,monitors,391.32,4.57,17,in_stock,GadgetWorld,2025-03-15,SoundX Model690 - Noise Cancelling - High quality monitors with features and warranty.,"{""weight_g"": 2093, ""color"": ""white""}",0
PID000019,PixelCam Model753 - 4K Capture,cameras,511.57,3.09,90,in_stock,BestStore,2025-01-19,PixelCam Model753 - 4K Capture - High quality cameras with features and warranty.,"{""weight_g"": 1465, ""color"": ""white""}",0
